date,primary_series,vax_case_count,vax_hosp_count,vax_death_count,vax_caserate,vax_hosprate,vax_deathrate
2021-02-01,J&J,1,0,0,NA,NA,NA
2021-02-01,Pfizer,21,0,0,NA,NA,NA
2021-02-01,Moderna,0,0,0,NA,NA,NA
2021-02-02,Pfizer,17,0,0,NA,NA,NA
2021-02-02,Moderna,0,0,0,NA,NA,NA
2021-02-02,J&J,0,0,0,NA,NA,NA
2021-02-03,Pfizer,26,0,0,NA,NA,NA
2021-02-03,Moderna,0,0,0,NA,NA,NA
2021-02-03,J&J,0,0,0,NA,NA,NA
2021-02-04,Pfizer,17,0,0,NA,NA,NA
2021-02-04,Moderna,0,0,0,NA,NA,NA
2021-02-04,J&J,0,0,0,NA,NA,NA
2021-02-05,Moderna,1,0,0,NA,NA,NA
2021-02-05,Pfizer,16,0,0,NA,NA,NA
2021-02-05,J&J,0,0,0,NA,NA,NA
2021-02-06,Pfizer,13,1,0,NA,NA,NA
2021-02-06,Moderna,0,0,0,NA,NA,NA
2021-02-06,J&J,0,0,0,NA,NA,NA
2021-02-07,Pfizer,7,0,0,3.8865641477412587,0.03321849698924152,0
2021-02-07,Moderna,0,0,0,0.4250941583560759,0,0
2021-02-07,J&J,0,0,0,14.927601134497685,0,0
2021-02-08,Moderna,2,0,0,0.8541362973760933,0,0
2021-02-08,Pfizer,25,1,0,3.83107067977125,0.06332348231026859,0
2021-02-08,J&J,0,0,0,0,0,0
2021-02-09,Moderna,2,0,0,1.048077406804957,0,0
2021-02-09,Pfizer,13,1,0,3.525350433392119,0.09039360085620819,0
2021-02-09,J&J,0,0,0,0,0,0
2021-02-10,Moderna,2,0,0,1.1255684120480842,0,0
2021-02-10,Pfizer,22,0,0,3.2554878017160163,0.08642887969157566,0
2021-02-10,J&J,0,0,0,0,0,0
2021-02-11,Moderna,5,0,0,1.5983568891179867,0,0
2021-02-11,Pfizer,25,1,0,3.3607367623773015,0.11109873594635708,0
2021-02-11,J&J,0,0,0,0,0,0
2021-02-12,Moderna,3,1,0,1.6426969799016025,0.11733549856440016,0
2021-02-12,Pfizer,18,1,0,3.2702529022165137,0.13293710984619975,0
2021-02-12,J&J,0,0,0,0,0,0
2021-02-13,Pfizer,10,0,0,3.1416968095021667,0.10472322698340555,0
2021-02-13,Moderna,0,0,0,1.5404997381150445,0.11003569557964603,0
2021-02-13,J&J,0,0,0,0,0,0
2021-02-14,Pfizer,6,0,0,3.1005263599455763,0.10421937344354879,0
2021-02-14,Moderna,0,0,0,1.508409382306358,0.107743527307597,0
2021-02-14,J&J,0,0,0,0,0,0
2021-02-15,Moderna,2,0,0,1.3326403603459533,0.0951885971675681,0
2021-02-15,Pfizer,22,2,0,2.882508935777701,0.12424607481800436,0
2021-02-15,J&J,0,0,0,0,0,0
2021-02-16,Moderna,4,1,0,1.3112475537037824,0.1639059442129728,0
