date,age_group,boosted_case_count,vax_case_count,unvax_case_count,boosted_hosp_count,vax_hosp_count,unvax_hosp_count,boosted_death_count,vax_death_count,unvax_death_count,boosted_caserate,vax_caserate,unvax_caserate,boosted_hosprate,vax_hosprate,unvax_hosprate,boosted_deathrate,vax_deathrate,unvax_deathrate
1/30/2022,Age 12-17,47,474,534,0,0,3,0,0,0,44.47181171,123.5314923,239.6501765,0,0.158684224,0.621321328,0,0,0
1/30/2022,Age 18-49,1432,2423,3151,10,25,75,1,1,5,69.57792412,87.87301114,300.2538706,0.219877146,0.618123542,3.667024734,0.005863391,0.023090822,0.201854573
1/30/2022,Age 50-64,719,748,934,10,20,49,0,2,17,54.1244069,75.33477936,398.6239121,0.490844824,1.287481121,13.1053808,0.065738146,0.176233157,2.983711917
1/30/2022,Age 65+,567,403,632,22,63,85,10,32,71,40.29420733,56.13783844,491.0489706,1.345288409,4.754865026,50.16396667,0.31014134,1.726966977,20.56675354
1/29/2022,Age 12-17,61,763,780,0,0,2,0,0,0,46.331606,127.7826054,246.5497889,0,0.191328685,0.702141925,0,0,0
1/29/2022,Age 18-49,1889,3426,4307,5,33,65,0,2,3,72.42322472,92.31300633,312.3570152,0.21481839,0.657707124,4.038768532,0.005885435,0.024819137,0.230238586
1/29/2022,Age 50-64,984,1059,1246,19,26,47,0,3,16,56.63642778,79.28521286,414.0056651,0.50509416,1.431246834,13.87651731,0.074666093,0.200276861,3.045506275
1/29/2022,Age 65+,804,589,809,33,69,106,15,36,56,41.50505044,58.76002294,506.9715071,1.43093065,5.098664864,55.21331689,0.322463245,1.724883643,20.71679155
1/28/2022,Age 12-17,153,1972,1966,0,5,3,0,0,0,50.86095661,134.3734301,258.6890667,0,0.214154051,0.813845928,0,0,0
1/28/2022,Age 18-49,3005,6193,7678,7,55,80,0,1,5,76.93710311,98.78139425,329.5145298,0.246165512,0.707939504,4.446696162,0.011863398,0.024716092,0.24385108
1/28/2022,Age 50-64,1614,1911,2220,17,26,65,6,1,22,60.16053315,84.69241674,433.6577121,0.503213793,1.574678241,15.16285707,0.088283121,0.218705311,2.986968835
1/28/2022,Age 65+,1405,968,1392,41,69,139,9,33,66,43.59859756,61.86726361,526.7580585,1.485581843,5.449291012,60.33124345,0.302768039,1.750745791,21.53679618
1/27/2022,Age 12-17,128,2182,2164,0,2,7,0,0,0,56.70595807,155.007833,289.8539928,0,0.211603678,0.890712348,0,0,0
1/27/2022,Age 18-49,3528,7076,9400,6,50,112,0,3,6,85.7828601,110.0245902,364.8525272,0.301744205,0.755846049,4.834215178,0.012069768,0.027994298,0.247177177
1/27/2022,Age 50-64,1786,2208,2718,13,46,84,1,10,23,66.89137218,94.63517783,475.3707804,0.513141738,1.788653905,16.0847392,0.062469429,0.230794052,2.963573608
1/27/2022,Age 65+,1511,1068,1622,56,84,180,15,33,55,47.24641865,67.26192264,560.9143455,1.657840188,6.127037268,64.80348856,0.336432116,1.844132839,22.17698636
1/26/2022,Age 12-17,179,2752,2692,0,4,3,0,0,0,61.81244849,178.8863964,325.9154123,0.063988042,0.201967209,1.048374415,0,0,0
1/26/2022,Age 18-49,4235,8568,10745,16,51,119,1,1,9,94.32074281,125.2991254,408.3314188,0.348950629,0.816552584,5.26138146,0.012243882,0.027797535,0.236360353
1/26/2022,Age 50-64,2117,2619,2956,18,45,84,2,3,15,74.42762518,106.9790303,521.2297249,0.594304429,1.940133024,17.24706716,0.063032288,0.224044846,2.874511193
1/26/2022,Age 65+,1703,1213,1737,55,93,165,5,36,68,51.22020266,73.27080453,601.9936786,1.742349924,6.576734801,68.49362648,0.333814705,1.838496319,23.15538421
1/25/2022,Age 12-17,170,2942,3017,0,6,10,0,0,0,63.29192727,200.6908266,365.7736472,0.069171505,0.256514877,1.172454389,0,0,0
1/25/2022,Age 18-49,4555,9968,12630,14,66,147,0,2,10,102.6039634,140.8572953,454.8210182,0.357180439,0.902301004,5.636489931,0.009317751,0.029329096,0.277358554
1/25/2022,Age 50-64,2408,3144,3368,16,44,114,3,8,17,81.61527996,119.5225373,573.694192,0.668046448,2.135596587,18.72413729,0.059078938,0.240963332,3.031526989
1/25/2022,Age 65+,1849,1444,2027,61,120,197,14,29,68,55.44661683,80.44911477,647.3043456,1.909977876,7.253547916,74.41863884,0.372179843,1.802261905,23.65777716
1/24/2022,Age 12-17,159,3706,3504,0,2,10,0,0,0,68.51481764,227.4474414,422.4564475,0.074961507,0.230781841,1.16771377,0,0,0
1/24/2022,Age 18-49,5089,11818,14563,17,68,165,0,3,4,113.4963826,160.0877108,512.4284055,0.400467885,0.95588048,5.991620144,0.009459871,0.027408759,0.308460943
1/24/2022,Age 50-64,2722,3700,3926,19,56,128,3,9,20,90.13551077,134.0701542,630.7148861,0.771055849,2.336255307,19.637967,0.045896181,0.243457467,3.096075879
1/24/2022,Age 65+,2165,1694,2167,66,127,189,9,28,51,60.21459908,87.32280879,688.8034039,2.116758944,7.658862916,78.73990647,0.37402925,1.780446518,23.49901199
1/23/2022,Age 12-17,60,1044,976,0,4,8,0,0,0,67.58621467,222.099515,414.8832762,0.160919559,0.269048474,1.099513983,0,0,0
1/23/2022,Age 18-49,2310,5023,5797,8,48,154,1,2,11,116.4951508,167.2517509,523.5321988,0.406419365,1.043015792,6.261079193,0.009600457,0.027223903,0.343964262
1/23/2022,Age 50-64,1264,1590,1646,13,50,84,2,7,20,93.65985957,139.8124568,641.5254885,0.8526328,2.478335335,21.0966018,0.032437117,0.222771715,3.139244597
1/23/2022,Age 65+,860,757,989,43,109,194,13,32,75,61.81113819,89.93398876,704.8818693,2.275079302,8.143945218,84.6888059,0.37573905,1.804084725,24.30004137
1/22/2022,Age 12-17,84,1716,1574,0,3,9,0,0,0,67.91449799,224.1252085,419.637835,0.167277089,0.299738084,1.097903561,0,0,0
1/22/2022,Age 18-49,3219,7307,8103,15,63,153,2,2,6,118.6793823,172.3503699,535.1565749,0.427702421,1.076383373,6.368537181,0.006431615,0.03055978,0.329327123
1/22/2022,Age 50-64,1718,2254,2185,18,57,106,3,7,14,95.22281968,144.2224842,655.1869055,0.887717618,2.457864405,22.41377046,0.023238681,0.217551087,3.020605785
1/22/2022,Age 65+,1307,1019,1268,46,117,219,10,40,75,63.05806397,91.94483339,715.6056542,2.393197367,8.662896508,87.26019214,0.37613292,1.793832105,24.55178354
1/21/2022,Age 12-17,168,4704,3971,0,5,8,0,0,0,73.40243828,228.229924,429.1789023,0.18821138,0.304858959,1.093833127,0,0,0
1/21/2022,Age 18-49,5493,13124,15518,24,86,167,0,3,6,122.5831141,179.6744471,552.2992782,0.425816396,1.121835434,6.572020331,0,0.02872169,0.332760523
1/21/2022,Age 50-64,2976,4167,4214,18,74,111,0,4,22,98.66937474,150.8828891,674.8340137,0.88469623,2.58485547,23.0185734,0.009361865,0.220770574,3.092372207
1/21/2022,Age 65+,2261,1741,2204,82,164,244,17,47,83,64.43509012,94.19653827,729.4626651,2.489424605,9.084613289,89.76966745,0.364508095,1.766048823,24.62945899
1/20/2022,Age 12-17,146,5279,4473,1,1,17,0,0,0,80.60904613,248.1776235,448.9200311,0.436905399,0.317531052,1.040736311,0,0,0
1/20/2022,Age 18-49,5913,16313,19023,20,88,208,0,3,4,127.892048,190.0819504,575.6030528,0.415525329,1.174223015,6.966347262,0,0.025090235,0.358190565
1/20/2022,Age 50-64,3326,4968,4915,30,81,141,1,9,20,102.8240203,158.9243097,695.8458216,0.91183834,2.624671439,25.55939234,0.018996632,0.227047702,2.849526849
1/20/2022,Age 65+,2437,1936,2607,75,150,271,14,34,80,66.06716691,97.93657738,738.1968139,2.49412195,9.291936423,90.35059233,0.333104768,1.614735267,23.88885676
1/19/2022,Age 12-17,128,5645,5259,0,11,11,0,0,0,89.64182565,257.9299329,468.9923539,0.368391064,0.36178545,1.020231024,0,0,0
1/19/2022,Age 18-49,6456,18092,21116,17,104,205,0,2,18,133.8581703,198.9215679,597.3412057,0.427174466,1.215758042,7.007831971,0.003390274,0.026537693,0.392621205
1/19/2022,Age 50-64,3545,5474,5483,33,90,156,1,7,23,106.1208966,165.7364258,714.0812261,0.913591769,2.655413226,26.31580638,0.019233511,0.215668079,2.869257978
1/19/2022,Age 65+,2678,2256,2829,94,191,306,14,33,83,67.44108138,100.4028981,741.2941573,2.541549413,9.555714317,92.03366634,0.301468794,1.579515979,22.74395203
1/18/2022,Age 12-17,169,6487,6653,0,3,10,0,0,0,95.09440863,263.4125883,483.2991186,0.391872563,0.322611866,1.125296269,0,0,0
1/18/2022,Age 18-49,7513,21775,25522,26,101,230,0,1,17,139.450572,209.4772038,623.4397667,0.42881267,1.232093053,7.266187168,0.003458167,0.026319745,0.367620962
1/18/2022,Age 50-64,4088,6483,6151,37,91,162,0,9,21,109.0251602,173.4344376,731.2846801,0.891094431,2.791951675,26.62923567,0.029216211,0.222289146,2.590723088
1/18/2022,Age 65+,2942,2466,3061,109,183,306,14,28,69,68.61925483,102.0051474,739.0035985,2.522890599,9.6614833,93.36896901,0.286404943,1.622052548,21.66090207
1/17/2022,Age 12-17,85,3192,3130,1,7,6,0,0,0,94.27684117,263.2392327,477.3492243,0.41592724,0.345045745,1.074164187,0,0,0
1/17/2022,Age 18-49,5499,16663,17553,17,123,230,0,3,12,142.1874488,217.4975003,638.042527,0.412607741,1.253446795,7.42744188,0.003526562,0.031009751,0.347456273
1/17/2022,Age 50-64,3295,5189,4629,35,91,201,0,5,23,110.3831486,178.385125,743.1539663,0.878014141,2.819848708,27.12947987,0.034528646,0.211158718,2.48546477
1/17/2022,Age 65+,2485,2138,2648,102,201,335,9,33,73,69.02889371,103.8627392,731.2842783,2.474396877,10.16514,94.24903545,0.245744895,1.621648716,21.41040502
1/16/2022,Age 12-17,32,1391,1313,0,8,8,0,0,0,105.9378145,296.4797934,540.4558579,0.294271707,0.35215923,1.07027105,0,0,0.015511175
1/16/2022,Age 18-49,2812,8242,8540,14,69,180,0,4,8,153.972387,236.7263127,693.0002078,0.463263858,1.251156753,7.63378203,0.003591193,0.029172049,0.336586509
1/16/2022,Age 50-64,1540,2623,2356,20,47,147,0,6,15,116.9332598,191.7906457,788.9644439,0.793664659,2.854416562,26.87134581,0.034941211,0.196104955,2.382063314
1/16/2022,Age 65+,1146,1053,1268,71,182,256,13,31,82,72.19360817,108.8669201,744.6069391,2.465937062,10.43662142,93.75134022,0.251278561,1.546682213,20.58583866
1/15/2022,Age 12-17,52,2499,2274,0,4,9,0,0,0,110.3068836,305.5991201,550.9913831,0.299340254,0.329062006,1.022851272,0,0,0.015497747
1/15/2022,Age 18-49,4026,12138,12230,13,93,202,0,1,7,157.1634766,242.3908434,708.2112043,0.476417015,1.27474512,7.844869959,0.00360922,0.024265453,0.340496926
1/15/2022,Age 50-64,2309,3901,3240,16,88,139,0,8,18,118.5179548,195.0081785,796.3480684,0.811080968,2.943470454,27.22521864,0.045060054,0.186956026,2.439012696
1/15/2022,Age 65+,1607,1371,1643,68,179,283,7,37,79,72.6605263,110.1641797,743.4249067,2.417186014,10.56140108,93.45766398,0.225945077,1.516722949,18.57171528
1/14/2022,Age 12-17,126,7552,5367,2,7,5,0,0,0,110.8314911,320.1921627,564.9387485,0.299949908,0.352002473,1.03814855,0,0,0.015494754
1/14/2022,Age 18-49,6254,20416,21360,18,124,262,0,1,12,159.4880377,250.2106829,722.8531245,0.505600409,1.271229739,7.958747443,0.003611431,0.02587745,0.353821636
1/14/2022,Age 50-64,3548,6360,5460,21,90,238,2,6,12,118.843794,198.7985509,803.3356023,0.846522852,2.920695807,27.10635212,0.045081099,0.182543488,2.396026513
1/14/2022,Age 65+,2572,2366,2538,80,203,274,9,28,71,72.93171954,112.1094403,738.2237718,2.426082924,10.72611261,92.7324374,0.213188306,1.439886712,17.45149191
1/13/2022,Age 12-17,138,6742,5884,0,7,16,0,0,0,113.4556561,331.3697204,583.543317,0,0.328785315,1.284587718,0,0,0.030953921
1/13/2022,Age 18-49,6923,22607,24521,21,119,226,1,4,12,164.6996781,263.0151171,750.7872519,0.516379729,1.287265489,8.067502424,0.003636477,0.02419672,0.357562434
1/13/2022,Age 50-64,3745,6857,6030,28,94,186,1,7,22,121.3635743,204.3344157,812.6814689,0.881197639,2.908736572,26.01793348,0.035247906,0.173139082,2.408683387
1/13/2022,Age 65+,2677,2398,2831,83,198,328,6,31,59,73.07325361,113.1768517,736.312409,2.392202854,10.78006911,93.29153691,0.20931775,1.345774393,15.98918023
1/12/2022,Age 12-17,126,6430,6302,0,6,18,0,0,0,122.3687378,346.4137705,596.7741264,0.167170407,0.350860547,1.248868502,0,0,0.030836259
1/12/2022,Age 18-49,7298,25502,27640,15,120,271,0,2,13,172.302057,275.3808015,776.3169877,0.523895155,1.2768371,8.288524562,0,0.019200558,0.34220718
1/12/2022,Age 50-64,3865,7598,6571,26,127,181,3,9,11,124.6422023,208.8267645,816.1383095,0.935084779,2.888899351,25.42454879,0.03576827,0.154074632,2.388054785
1/12/2022,Age 65+,2863,2609,2933,86,218,356,10,41,63,73.17422889,113.9111576,723.9712238,2.487107633,10.94796736,90.61797399,0.206185089,1.27301946,15.43423262
1/11/2022,Age 12-17,121,6525,6393,0,6,7,0,0,0,132.6488676,364.0296684,598.5826614,0.18347008,0.372856475,1.212949014,0,0,0.03070757
1/11/2022,Age 18-49,7507,27695,29553,19,120,275,0,4,13,182.1592347,290.4566145,805.7651739,0.54807626,1.264075408,8.400978807,0,0.019032503,0.33126888
1/11/2022,Age 50-64,4076,8022,6996,32,104,196,1,7,17,127.993148,213.7924659,814.7589074,0.965046233,2.76718399,25.34197899,0.025942103,0.118472709,2.407692046
1/11/2022,Age 65+,2942,2860,3046,94,267,347,4,30,68,73.09848324,113.9105694,705.0816222,2.454767558,10.79210209,86.61689406,0.177192729,1.13924213,14.61764798
1/10/2022,Age 12-17,125,7588,7310,0,8,6,0,0,1,140.7848706,379.2074844,600.6522705,0.202568159,0.410027916,1.238836705,0,0,0.030588561
1/10/2022,Age 18-49,8055,29467,30574,29,127,285,0,2,10,192.6349369,304.5788704,831.2140647,0.573097807,1.281672567,8.250361727,0,0.017298648,0.316139459
1/10/2022,Age 50-64,4343,8649,7105,16,105,199,0,2,19,130.738744,218.6891932,806.1100533,0.927748526,2.747835066,25.12077998,0.026356492,0.100377537,2.325998146
1/10/2022,Age 65+,3144,2969,3103,97,251,342,10,24,58,72.80720033,112.2899294,683.5573507,2.362655219,10.34516078,82.96222835,0.169693469,1.040597492,13.14294172
1/9/2022,Age 12-17,49,2598,2023,0,5,5,0,0,0,142.5853396,375.9115258,572.2451715,0.222789593,0.394140525,1.311195075,0,0,0.030492909
1/9/2022,Age 18-49,3482,12012,12197,17,85,230,0,1,9,198.0520513,310.2966137,830.8653372,0.537816851,1.276940797,8.132507283,0,0.015610523,0.301365737
1/9/2022,Age 50-64,1786,3465,2799,23,69,167,2,4,18,131.2201506,219.0080561,791.3500464,0.978536576,2.761458126,24.69959197,0.032083166,0.111783163,2.227176855
1/9/2022,Age 65+,1239,1261,1279,59,202,254,7,27,36,71.03848971,109.7630423,650.7218644,2.375532696,9.879076217,79.1157449,0.13999456,0.959068499,12.41192465
1/8/2022,Age 12-17,54,4408,3181,0,7,10,0,0,0,139.7783645,373.7775453,566.3046954,0.456792041,0.401593584,1.325455557,0,0,0.030470243
1/8/2022,Age 18-49,4643,17006,15551,21,91,228,0,2,10,200.1138574,313.7893283,831.7627022,0.500815508,1.288646541,7.948165925,0,0.014023965,0.331355244
1/8/2022,Age 50-64,2363,4789,3596,23,83,134,0,7,16,131.8548064,220.1855293,786.6831808,0.933770302,2.721654045,23.69455319,0.021465984,0.107379371,2.141315196
1/8/2022,Age 65+,1668,1654,1529,70,203,267,4,26,53,70.88691238,109.126919,642.6999218,2.360561335,9.604026136,76.29422431,0.118247043,0.843868405,11.9299405
1/7/2022,Age 12-17,124,9047,6611,0,4,21,0,0,1,128.8380136,347.3396428,528.6192203,0.456872389,0.394015302,1.32543294,0,0,0.030469723
1/7/2022,Age 18-49,7383,28759,27943,20,136,290,0,0,13,189.7494507,300.1167353,796.0626997,0.460790329,1.274586151,7.751620974,0,0.01246539,0.305181928
