4.5648e+05,6.5629e+05,5.498e+05,4.7423e+06,1.2097e+06
7.4693e+05,1.0868e+06,9.8501e+05,7.8109e+06,2.0432e+06
2.3837e+06,3.4826e+06,3.0277e+06,2.4783e+07,5.838e+06
4.2979e+05,6.4364e+05,5.6741e+05,4.3294e+06,1.3086e+06
3.5736e+05,5.1796e+05,4.772e+05,4.3705e+06,1.1694e+06
3.305e+05,4.9164e+05,4.4406e+05,3.5385e+06,1.0172e+06
1.9909e+06,2.8997e+06,2.5047e+06,1.7863e+07,3.7341e+06
1.3088e+05,1.8591e+05,1.5903e+05,1.146e+06,3.1246e+05
2.478e+05,3.6555e+05,3.1771e+05,1.9089e+06,3.6585e+05
2.2781e+05,3.4173e+05,2.9688e+05,2.585e+06,7.6607e+05
1.1397e+06,1.6401e+06,1.4499e+06,1.2752e+07,4.4975e+06
1.127e+06,1.5533e+06,1.3482e+06,1.2127e+07,3.2963e+06
54521,77331,72647,6.6779e+05,1.8705e+05
6.5657e+05,9.7312e+05,8.7474e+05,6.5977e+06,1.517e+06
63621,97390,94087,8.5067e+05,2.5386e+05
6.0977e+05,8.9161e+05,7.9868e+05,6.4364e+06,1.7512e+06
5.1469e+05,7.4807e+05,6.7568e+05,5.4674e+06,1.4755e+06
3.322e+05,4.9111e+05,4.3645e+05,3.657e+06,8.4244e+05
3.6194e+05,5.213e+05,4.521e+05,3.752e+06,9.594e+05
1.8558e+05,2.7303e+05,2.3438e+05,1.8914e+06,4.9598e+05
4.0861e+05,5.8523e+05,5.1671e+05,4.176e+06,1.1434e+06
85219,1.1943e+05,94985,8.4768e+05,2.6845e+05
4.1834e+05,6.0893e+05,5.4063e+05,4.0788e+06,1.0858e+06
2.7261e+05,3.8834e+05,3.4145e+05,2.714e+06,7.5057e+05
3.5162e+05,5.0986e+05,4.4173e+05,3.416e+06,9.2042e+05
2.5553e+05,3.7613e+05,3.2056e+05,2.3695e+06,6.3512e+05
6.9792e+05,1.0221e+06,9.1378e+05,7.7743e+06,2.3934e+06
2.9246e+05,4.3574e+05,3.8313e+05,3.1004e+06,9.3696e+05
45368,50682,32072,4.9024e+05,87345
1.8533e+05,2.7621e+05,2.3875e+05,1.7375e+06,4.7551e+05
3.6808e+05,5.3274e+05,4.6832e+05,3.705e+06,1.062e+06
29043,44021,40986,3.8497e+05,1.2504e+05
5.0548e+05,7.2282e+05,6.33e+05,5.316e+06,1.3588e+06
1.8171e+05,2.7815e+05,2.6797e+05,2.2077e+06,6.3027e+05
1.9564e+05,2.8324e+05,2.4831e+05,1.8753e+06,5.5295e+05
3.0147e+05,4.2457e+05,3.6183e+05,2.8198e+06,7.4102e+05
6.9083e+05,9.9706e+05,8.9e+05,7.0647e+06,2.0464e+06
5.6644e+05,8.2576e+05,7.5177e+05,6.0779e+06,1.7654e+06
61167,85410,70513,5.1577e+05,1.5187e+05
1.8846e+05,2.7226e+05,2.3936e+05,1.7934e+06,5.2389e+05
54719,79362,69606,5.8129e+05,1.889e+05
1.8348e+05,2.708e+05,2.4368e+05,1.7909e+06,4.8667e+05
1.2099e+05,1.8839e+05,1.6657e+05,1.2433e+06,3.7761e+05
54101,70688,55400,4.62e+05,1.1985e+05
34931,53098,45699,3.4582e+05,99176
51080,71577,57349,4.6e+05,91585
63537,95919,89476,8.1011e+05,2.8525e+05
2.9436e+05,4.2157e+05,3.7256e+05,2.9654e+06,8.4982e+05
1.162e+05,62152,1.7308e+05,1.0482e+06,2.9067e+05
61156,89971,77392,6.337e+05,2.0644e+05
2.2145e+05,1.2411e+05,2.2723e+05,2.0597e+06,2.5537e+05
7260,8019,7869,63798,17736
11496,12708,12453,1.0103e+05,28089
93025,1.4131e+05,1.2536e+05,1.0655e+06,3.67e+05
3944.9,4359.5,4274.9,34664,9638.5
3862,4261.9,4187.8,33937,9435.2
