33,289,140,34,50,66,348,180,74,73,122,349,14,233,46,207,84,71,75,33,136,1,307,156,105,102,212,48,28,215,345,88,106,64,144,147,196,273,19,176,38,124,64,46,23,46,96,106,96,33,6,0,0,101
74,498,306,73,72,102,615,311,132,164,209,585,26,388,93,339,143,121,136,53,262,11,490,250,147,210,375,81,60,354,582,164,185,118,271,262,307,482,49,344,57,235,124,73,30,65,185,168,171,38,11,0,0,190
5,131,34,9,12,13,155,78,35,20,35,127,4,100,28,86,34,18,20,8,65,0,118,50,29,46,76,12,23,95,137,58,45,24,65,77,56,135,3,89,16,60,17,11,2,18,46,32,52,5,0,0,0,47
12,74,37,8,18,26,89,42,16,24,44,99,6,62,10,54,19,17,21,8,56,1,83,50,32,28,63,26,0,51,89,23,25,19,42,29,69,65,8,52,7,32,17,17,11,3,27,39,19,11,1,0,0,34
64,461,238,71,80,144,551,266,130,143,251,540,21,373,90,347,156,104,132,48,268,2,478,277,200,214,368,98,50,304,552,160,200,115,254,211,364,398,51,343,63,235,126,85,39,42,168,214,113,60,12,0,0,207
110,772,424,117,134,197,948,477,209,246,367,873,37,628,143,556,242,180,217,87,432,10,813,433,291,335,589,141,83,550,912,266,304,187,427,390,574,711,80,577,101,373,210,128,59,95,282,314,233,87,20,0,0,312
22,227,97,24,45,53,275,136,65,54,117,281,13,191,43,163,68,40,56,17,137,1,232,134,74,90,168,63,23,160,277,82,98,54,122,114,160,203,16,159,28,114,47,39,17,35,78,95,74,21,3,0,0,99
28,278,111,27,44,61,313,161,62,62,106,311,12,201,48,173,68,51,54,20,136,1,268,131,91,105,185,49,25,202,310,97,85,50,139,137,172,251,23,171,32,109,49,42,17,24,96,85,99,22,1,0,0,112
25,159,96,20,24,31,177,93,36,47,66,188,10,113,26,100,44,31,39,14,86,4,150,85,45,64,116,27,16,105,182,49,49,35,84,75,92,137,12,92,15,75,32,19,11,31,55,50,50,13,1,0,0,61
47,355,176,56,55,76,430,220,101,111,166,408,15,280,69,255,105,93,95,41,191,12,346,181,118,142,268,69,41,251,425,121,138,87,190,176,244,327,37,253,46,168,88,58,28,30,135,139,118,37,6,0,0,137
43,334,178,47,56,107,410,197,91,101,181,368,14,268,62,239,111,71,95,37,205,2,351,196,154,146,272,81,29,216,401,115,134,83,179,151,291,277,38,271,56,171,89,57,33,55,118,173,78,40,8,0,0,146
41,480,222,66,51,72,599,303,127,124,195,553,23,375,87,316,127,92,105,51,225,5,479,221,135,194,308,59,67,358,567,156,173,92,240,285,234,471,27,300,57,222,115,54,12,74,162,129,190,21,7,0,0,183
88,603,313,90,106,176,714,345,176,197,319,679,30,474,115,447,198,135,169,66,342,13,604,351,246,270,491,141,62,396,710,198,248,142,325,268,476,523,65,454,86,318,164,106,47,56,230,281,155,66,15,0,0,270
6,65,21,7,9,5,84,41,13,16,17,77,1,50,8,45,13,22,12,9,27,0,68,24,20,19,50,3,8,51,81,16,22,12,37,39,27,65,14,39,10,28,13,3,0,8,19,16,32,0,2,0,0,15
56,476,247,70,66,97,594,286,124,148,204,553,32,373,81,330,125,113,123,53,238,14,482,236,148,169,339,98,45,330,566,146,164,88,249,256,297,440,38,308,58,216,114,59,25,39,161,172,169,38,10,0,0,176
12,87,50,16,12,24,124,54,23,33,48,96,7,74,16,64,22,21,25,11,54,2,102,49,33,40,60,19,7,64,106,28,35,16,50,54,58,89,10,66,4,41,26,11,5,25,31,33,27,6,4,0,0,37
38,322,151,43,49,73,398,190,83,99,136,380,20,253,56,219,85,69,89,37,175,10,339,172,107,123,238,66,29,233,379,110,107,76,169,168,224,316,28,217,38,139,73,52,21,22,112,118,110,24,6,0,0,127
33,172,134,40,20,27,219,101,38,68,61,224,9,123,23,113,42,52,57,26,76,12,176,68,64,62,127,17,17,126,210,47,48,33,87,88,115,160,13,112,26,72,44,30,4,24,57,53,67,12,2,0,0,50
17,104,62,20,17,16,112,56,29,33,40,130,8,69,19,78,28,34,27,16,47,3,98,49,30,42,70,11,14,74,116,32,39,14,56,49,50,95,3,53,8,47,29,13,2,38,39,21,38,5,0,0,0,34
0,50,14,1,3,3,52,33,17,5,12,56,0,38,11,34,15,12,8,2,16,0,48,20,7,23,31,2,11,38,59,17,17,11,28,32,13,46,0,26,6,22,4,2,8,3,16,9,21,0,0,0,0,19
15,66,38,12,13,36,103,38,20,28,27,81,5,44,9,59,14,14,28,8,38,2,81,33,40,42,61,22,3,42,92,30,27,25,34,57,68,56,8,44,19,25,24,39,2,403,35,24,15,4,3,0,0,24
48,241,131,36,47,60,265,139,60,75,90,297,15,182,38,159,69,58,64,24,125,12,249,124,79,94,180,50,21,156,274,69,92,52,129,107,161,218,20,157,27,106,58,45,16,38,83,81,78,18,2,0,0,91
14,281,100,32,20,39,343,182,67,52,103,281,10,213,52,181,72,51,51,22,125,1,276,112,74,106,172,35,39,215,319,96,86,51,144,172,131,281,16,177,33,121,54,22,8,24,85,76,113,10,4,0,0,106
40,203,115,36,41,77,235,118,67,74,126,212,9,159,43,162,78,55,65,25,134,1,214,133,109,96,177,52,19,116,235,75,97,55,121,77,191,159,31,175,27,109,67,43,22,15,82,112,32,33,7,0,0,92
10,65,19,10,5,3,72,44,21,9,22,87,0,51,11,50,14,18,13,8,26,0,68,26,17,33,39,4,11,59,87,21,22,13,35,41,23,65,0,38,7,24,12,5,0,5,17,11,33,12,0,0,0,25
1,16,7,4,0,2,21,9,2,7,5,19,0,11,1,10,2,3,7,2,6,0,13,4,4,6,11,0,1,12,20,3,1,1,6,8,7,15,2,9,4,6,2,0,0,3,2,4,7,0,0,0,0,6
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
23,267,120,28,47,53,333,174,73,56,112,315,12,224,49,190,82,65,63,25,137,1,286,149,98,101,191,50,32,204,317,95,109,62,137,145,183,265,15,176,34,125,50,37,19,21,93,103,92,25,6,0,0,96
