id,Country,2021-09-02,2021-09-03,2021-09-04,2021-09-05,2021-09-06,2021-09-07,2021-09-08,2021-09-09,2021-09-10,2021-09-11,2021-09-12,2021-09-13,2021-09-14,2021-09-15,2021-09-16,2021-09-17,2021-09-18,2021-09-19,2021-09-20,2021-09-21,2021-09-22,2021-09-23,2021-09-24,2021-09-25,2021-09-26,2021-09-27,2021-09-28,2021-09-29,2021-09-30,2021-10-01,2021-10-02,2021-10-03,2021-10-04,2021-10-05,2021-10-06,2021-10-07,2021-10-08,2021-10-09,2021-10-10,2021-10-11,2021-10-12,2021-10-13,2021-10-14,2021-10-15,2021-10-16,2021-10-17,2021-10-18,2021-10-19,2021-10-20,2021-10-21,2021-10-22,2021-10-23,2021-10-24,2021-10-25,2021-10-26,2021-10-27,2021-10-28,2021-10-29,2021-10-30,2021-10-31,2021-11-01,2021-11-02,2021-11-03,2021-11-04,2021-11-05,2021-11-06,2021-11-07,2021-11-08,2021-11-09,2021-11-10,2021-11-11,2021-11-12,2021-11-13,2021-11-14,2021-11-15,2021-11-16,2021-11-17,2021-11-18,2021-11-19,2021-11-20,2021-11-21,2021-11-22,2021-11-23,2021-11-24,2021-11-25,2021-11-26,2021-11-27,2021-11-28,2021-11-29,2021-11-30,2021-12-01,2021-12-02,2021-12-03,2021-12-04,2021-12-05,2021-12-06
0,Afghanistan,153306,153306,153306,153306,153306,153306,153306,153306,153306,153306,153306,153306,153306,153306,153306,153306,153306,153306,153306,153306,153306,153306,153306,153306,153306,153306,153306,153306,153306,153306,153306,153306,153306,153306,153306,153306,153306,153306,153306,153306,153306,153306,153306,153306,153306,153306,153306,153306,153306,153306,153306,153306,153306,153306,153306,153306,153306,153306,153306,153306,153306,153306,153306,153306,153306,153306,153306,153306,153306,153306,153306,153306,153306,153306,153306,153306,153306,153306,153306,153306,153306,153306,153306,153306,153306,153306,153306,153306,153306,153306,153306,153306,153306,153306,153306,153306
1,Albania,148222,149089,149981,150920,151885,152872,153889,154922,155989,157068,158177,159299,160450,161613,162807,164011,165245,166488,167759,169038,170345,171658,172998,174343,175712,177085,178482,179880,181300,182719,184159,185596,187051,188502,189970,191430,192906,194372,195851,197319,198798,200263,201737,203195,204660,206108,207560,208992,210427,211841,213255,214647,216037,217402,218765,220101,221432,222737,224034,225304,226565,227797,229020,230213,231395,232546,233686,234795,235891,236957,238008,239029,240035,241011,241971,242901,243815,244699,245568,246406,247229,248023,248801,249550,250284,250990,251680,252343,252991,253613,254220,254802,255369,255912,256441,256947
2,Algeria,196915,196963,197010,197056,197101,197145,197188,197230,197271,197311,197350,197388,197425,197461,197496,197530,197563,197595,197626,197656,197685,197713,197740,197766,197791,197815,197838,197860,197881,197901,197920,197938,197955,197971,197986,197999,198011,198021,198030,198039,198046,198053,198059,198064,198068,198072,198076,198079,198081,198083,198085,198087,198089,198090,198091,198092,198093,198094,198094,198094,198094,198094,198094,198094,198094,198094,198094,198094,198094,198094,198094,198094,198094,198094,198094,198094,198094,198094,198094,198094,198094,198094,198094,198094,198094,198094,198094,198094,198094,198094,198094,198094,198094,198094,198094,198094
3,Andorra,15052,15052,15052,15052,15052,15052,15052,15052,15052,15052,15052,15052,15052,15052,15052,15052,15052,15052,15052,15052,15052,15052,15052,15052,15052,15052,15052,15052,15052,15052,15052,15052,15052,15052,15052,15052,15052,15052,15052,15052,15052,15052,15052,15052,15052,15052,15052,15052,15052,15052,15052,15052,15052,15052,15052,15052,15052,15052,15052,15052,15052,15052,15052,15052,15052,15052,15052,15052,15052,15052,15052,15052,15052,15052,15052,15052,15052,15052,15052,15052,15052,15052,15052,15052,15052,15052,15052,15052,15052,15052,15052,15052,15052,15052,15052,15052
4,Angola,48004,48004,48004,48004,48004,48004,48004,48004,48004,48004,48004,48004,48004,48004,48004,48004,48004,48004,48004,48004,48004,48004,48004,48004,48004,48004,48004,48004,48004,48004,48004,48004,48004,48004,48004,48004,48004,48004,48004,48004,48004,48004,48004,48004,48004,48004,48004,48004,48004,48004,48004,48004,48004,48004,48004,48004,48004,48004,48004,48004,48004,48004,48004,48004,48004,48004,48004,48004,48004,48004,48004,48004,48004,48004,48004,48004,48004,48004,48004,48004,48004,48004,48004,48004,48004,48004,48004,48004,48004,48004,48004,48004,48004,48004,48004,48004
5,Antigua and Barbuda,1742,1760,1777,1794,1810,1827,1843,1859,1874,1890,1905,1921,1935,1950,1964,1978,1992,2006,2019,2033,2045,2058,2070,2083,2094,2106,2118,2129,2140,2151,2161,2172,2182,2192,2201,2211,2220,2229,2237,2246,2254,2263,2270,2278,2285,2293,2300,2307,2313,2320,2326,2333,2338,2344,2350,2355,2361,2366,2371,2376,2380,2385,2389,2393,2397,2401,2405,2409,2412,2416,2419,2422,2425,2429,2431,2434,2437,2439,2442,2444,2447,2449,2451,2453,2455,2457,2459,2460,2462,2464,2465,2467,2468,2469,2471,2472
6,Argentina,5195601,5198229,5200791,5203287,5205717,5208081,5210379,5212611,5214777,5216877,5218911,5220879,5222781,5224617,5226387,5228091,5229729,5231301,5232807,5234247,5235621,5236929,5238171,5239347,5240457,5241501,5242482,5243403,5244267,5245077,5245836,5246547,5247212,5247834,5248415,5248958,5249464,5249937,5250377,5250787,5251169,5251524,5251854,5252161,5252445,5252709,5252954,5253180,5253390,5253584,5253764,5253930,5254083,5254224,5254354,5254474,5254584,5254686,5254779,5254865,5254944,5255016,5255082,5255143,5255199,5255249,5255296,5255338,5255377,5255412,5255445,5255474,5255501,5255525,5255547,5255567,5255585,5255602,5255617,5255630,5255642,5255654,5255664,5255673,5255681,5255688,5255695,5255701,5255706,5255710,5255713,5255715,5255716,5255716,5255716,5255716
7,Armenia,243386,243918,244455,244993,245535,246077,246625,247174,247729,248284,248843,249403,249966,250531,251099,251667,252239,252810,253384,253958,254535,255111,255689,256266,256846,257423,258003,258581,259161,259738,260317,260893,261470,262045,262620,263191,263764,264332,264901,265466,266031,266592,267152,267708,268263,268814,269363,269908,270451,270989,271526,272057,272586,273110,273631,274147,274661,275168,275673,276172,276668,277158,277645,278125,278603,279073,279541,280001,280459,280909,281356,281796,282233,282662,283088,283507,283922,284330,284733,285130,285523,285909,286291,286665,287036,287404,287769,288131,288490,288846,289199,289549,289896,290240,290581,290919
8,Australia,58208,59388,60594,61815,63053,64303,65566,66837,68117,69401,70689,71975,73261,74539,75813,77075,78326,79561,80782,81981,83159,84314,85440,86540,87608,88647,89651,90624,91560,92462,93327,94157,94949,95706,96424,97107,97753,98365,98940,99482,99989,100463,100906,101316,101697,102048,102372,102669,102942,103192,103419,103626,103813,103983,104136,104273,104396,104506,104604,104691,104768,104836,104897,104949,104995,105035,105070,105100,105126,105148,105167,105183,105196,105208,105218,105226,105233,105238,105243,105247,105250,105253,105255,105256,105258,105259,105260,105261,105261,105261,105261,105261,105261,105261,105261,105261
9,Austria,691663,693153,694669,696197,697750,699315,700907,702515,704154,705807,707486,709178,710897,712629,714389,716161,717958,719768,721603,723448,725319,727199,729105,731018,732956,734901,736870,738844,740841,742844,744868,746895,748944,750995,753065,755137,757227,759317,761424,763530,765652,767772,769906,772036,774179,776317,778467,780610,782764,784909,787064,789209,791362,793504,795653,797789,799930,802057,804188,806304,808422,810524,812627,814712,816797,818863,820927,822971,825012,827033,829048,831042,833031,834996,836955,838890,840817,842720,844614,846482,848341,850173,851995,853791,855574,857331,859075,860791,862494,864170,865831,867465,869083,870674,872249,873796
