id,Country,2022-04-22,2022-04-23,2022-04-24,2022-04-25,2022-04-26,2022-04-27,2022-04-28,2022-04-29,2022-04-30,2022-05-01,2022-05-02,2022-05-03,2022-05-04,2022-05-05,2022-05-06,2022-05-07,2022-05-08,2022-05-09,2022-05-10,2022-05-11,2022-05-12,2022-05-13,2022-05-14,2022-05-15,2022-05-16,2022-05-17,2022-05-18,2022-05-19,2022-05-20,2022-05-21,2022-05-22,2022-05-23,2022-05-24,2022-05-25,2022-05-26,2022-05-27,2022-05-28,2022-05-29,2022-05-30,2022-05-31,2022-06-01,2022-06-02,2022-06-03,2022-06-04,2022-06-05,2022-06-06,2022-06-07,2022-06-08,2022-06-09,2022-06-10,2022-06-11,2022-06-12,2022-06-13,2022-06-14,2022-06-15,2022-06-16,2022-06-17,2022-06-18,2022-06-19,2022-06-20,2022-06-21,2022-06-22,2022-06-23,2022-06-24,2022-06-25,2022-06-26,2022-06-27,2022-06-28,2022-06-29,2022-06-30,2022-07-01,2022-07-02,2022-07-03,2022-07-04,2022-07-05,2022-07-06,2022-07-07,2022-07-08,2022-07-09,2022-07-10,2022-07-11,2022-07-12,2022-07-13,2022-07-14,2022-07-15,2022-07-16,2022-07-17,2022-07-18,2022-07-19,2022-07-20,2022-07-21,2022-07-22,2022-07-23,2022-07-24,2022-07-25,2022-07-26,2022-07-27,2022-07-28,2022-07-29,2022-07-30,2022-07-31
159,Zambia,318984,319082,319178,319274,319368,319461,319554,319646,319740,319832,319924,320016,320107,320197,320288,320378,320468,320558,320647,320737,320825,320914,321002,321091,321179,321266,321354,321441,321528,321615,321702,321789,321876,321962,322048,322134,322220,322307,322393,322478,322564,322650,322735,322821,322906,322992,323077,323163,323248,323333,323419,323504,323590,323675,323761,323846,323932,324017,324103,324189,324275,324361,324446,324532,324619,324705,324791,324878,324964,325050,325137,325224,325311,325398,325485,325572,325659,325746,325834,325922,326009,326097,326185,326272,326360,326448,326536,326624,326712,326799,326887,326975,327062,327150,327237,327324,327411,327497,327583,327669,327755
160,Zimbabwe,247488,247518,247548,247576,247602,247627,247651,247673,247694,247713,247732,247749,247765,247781,247795,247808,247820,247832,247843,247852,247862,247870,247878,247885,247892,247898,247904,247909,247913,247918,247922,247925,247928,247931,247934,247936,247938,247940,247942,247943,247944,247946,247947,247947,247948,247949,247949,247950,247950,247951,247951,247951,247951,247952,247952,247952,247952,247952,247952,247952,247952,247952,247952,247952,247952,247952,247952,247952,247952,247952,247952,247952,247952,247952,247952,247952,247952,247952,247952,247952,247952,247952,247952,247952,247952,247952,247952,247952,247952,247952,247952,247952,247952,247952,247952,247952,247952,247952,247952,247952,247952
161,Dominica,12011,12014,12018,12021,12024,12027,12030,12033,12035,12038,12041,12043,12046,12048,12050,12053,12055,12057,12059,12061,12063,12065,12067,12069,12071,12072,12074,12076,12077,12079,12081,12082,12084,12086,12087,12089,12090,12092,12093,12095,12096,12098,12099,12101,12102,12104,12105,12107,12108,12109,12111,12112,12114,12115,12117,12118,12119,12121,12122,12124,12125,12127,12128,12130,12131,12133,12134,12136,12137,12139,12140,12142,12144,12145,12147,12149,12150,12152,12154,12156,12158,12159,12161,12163,12165,12167,12169,12171,12173,12175,12178,12180,12182,12184,12187,12189,12192,12194,12197,12199,12202
162,Grenada,14332,14359,14387,14416,14446,14477,14510,14544,14580,14618,14658,14699,14742,14787,14834,14884,14936,14991,15048,15108,15170,15236,15306,15378,15455,15534,15617,15704,15794,15891,15991,16096,16205,16317,16434,16556,16684,16817,16953,17093,17237,17384,17535,17691,17850,18011,18173,18335,18497,18660,18838,19016,19199,19385,19571,19757,19943,20129,20314,20497,20679,20858,21036,21210,21382,21552,21718,21881,22041,22197,22350,22500,22646,22789,22929,23065,23197,23326,23452,23575,23695,23811,23924,24033,24140,24245,24346,24445,24541,24634,24724,24811,24897,24981,25062,25141,25218,25292,25364,25435,25504
163,Mozambique,225352,225356,225360,225364,225368,225371,225375,225378,225380,225383,225386,225388,225391,225393,225395,225397,225399,225400,225402,225403,225405,225406,225408,225409,225410,225411,225412,225413,225414,225415,225416,225417,225418,225419,225419,225420,225421,225421,225422,225422,225423,225423,225423,225423,225423,225423,225423,225423,225423,225423,225423,225423,225423,225423,225423,225423,225423,225423,225423,225423,225423,225423,225423,225423,225423,225423,225423,225423,225423,225423,225423,225423,225423,225423,225423,225423,225423,225423,225423,225423,225423,225423,225423,225423,225423,225423,225423,225423,225423,225423,225423,225423,225423,225423,225423,225423,225423,225423,225423,225423,225423
164,Syria,55792,55795,55798,55801,55804,55807,55810,55812,55815,55817,55819,55821,55823,55824,55826,55828,55829,55831,55832,55833,55834,55836,55837,55838,55838,55839,55840,55841,55842,55842,55843,55843,55844,55844,55845,55845,55846,55846,55846,55846,55846,55846,55846,55846,55846,55846,55846,55846,55846,55846,55846,55846,55846,55846,55846,55846,55846,55846,55846,55846,55846,55846,55846,55846,55846,55846,55846,55846,55846,55846,55846,55846,55846,55846,55846,55846,55846,55846,55846,55846,55846,55846,55846,55846,55846,55846,55846,55846,55846,55846,55846,55846,55846,55846,55846,55846,55846,55846,55846,55846,55846
165,Timor-Leste,22860,22861,22862,22863,22864,22864,22865,22866,22866,22867,22868,22868,22869,22869,22870,22870,22871,22871,22871,22872,22872,22872,22873,22873,22873,22873,22874,22874,22874,22874,22874,22875,22875,22875,22875,22875,22875,22876,22876,22876,22876,22876,22876,22876,22876,22876,22876,22876,22877,22877,22877,22877,22877,22877,22877,22877,22877,22877,22877,22877,22877,22877,22877,22877,22877,22877,22877,22877,22877,22877,22877,22877,22877,22877,22877,22877,22877,22878,22878,22878,22878,22878,22878,22878,22878,22878,22878,22878,22878,22878,22878,22878,22878,22878,22878,22878,22878,22878,22878,22878,22878
166,Belize,57419,57428,57437,57446,57455,57464,57474,57483,57492,57501,57510,57519,57528,57537,57546,57555,57564,57573,57582,57591,57601,57610,57619,57629,57638,57648,57658,57667,57677,57688,57698,57709,57719,57730,57741,57752,57764,57776,57788,57800,57813,57825,57838,57852,57866,57881,57895,57910,57926,57942,57958,57976,57993,58011,58030,58049,58069,58090,58111,58133,58156,58179,58203,58228,58254,58281,58308,58337,58366,58396,58427,58459,58492,58526,58561,58596,58633,58670,58708,58747,58787,58828,58869,58911,58953,58996,59040,59084,59129,59173,59218,59263,59309,59354,59400,59446,59491,59537,59582,59628,59673
167,Laos,204274,204875,205447,205987,206493,206964,207400,207798,208189,208549,208882,209186,209465,209719,209950,210174,210377,210560,210726,210875,211009,211130,211247,211351,211445,211529,211604,211672,211732,211790,211842,211888,211930,211967,212000,212030,212058,212084,212107,212127,212145,212162,212177,212191,212203,212214,212224,212233,212241,212248,212255,212261,212266,212271,212275,212278,212281,212284,212286,212288,212289,212291,212292,212293,212293,212294,212294,212295,212295,212295,212295,212296,212296,212296,212296,212296,212296,212296,212296,212296,212296,212296,212296,212296,212296,212296,212296,212296,212296,212296,212296,212296,212296,212296,212296,212296,212296,212296,212296,212296,212296
168,Libya,501862,501868,501874,501879,501885,501890,501894,501899,501903,501907,501911,501915,501919,501923,501926,501929,501932,501935,501938,501941,501944,501946,501949,501951,501954,501956,501958,501960,501962,501964,501966,501968,501969,501971,501972,501974,501976,501977,501978,501980,501981,501982,501983,501985,501986,501987,501988,501989,501990,501991,501992,501993,501993,501994,501995,501996,501996,501997,501998,501998,501999,501999,502000,502001,502001,502002,502002,502002,502003,502003,502004,502004,502004,502005,502005,502005,502006,502006,502006,502007,502007,502007,502007,502008,502008,502008,502008,502008,502009,502009,502009,502009,502009,502009,502010,502010,502010,502010,502010,502010,502010
