"location","date","value","race_ethnicity","target"
"06","2020-04-18",2942,"asian","imputed inc case"
"06","2020-04-25",982,"asian","imputed inc case"
"06","2020-05-02",903,"asian","imputed inc case"
"06","2020-05-09",857,"asian","imputed inc case"
"06","2020-05-16",933,"asian","imputed inc case"
"06","2020-05-23",829,"asian","imputed inc case"
"06","2020-05-30",840,"asian","imputed inc case"
"06","2020-06-06",798,"asian","imputed inc case"
"06","2020-06-13",736,"asian","imputed inc case"
"06","2020-06-20",929,"asian","imputed inc case"
"06","2020-06-27",1416,"asian","imputed inc case"
"06","2020-07-04",1961,"asian","imputed inc case"
"06","2020-07-11",2342,"asian","imputed inc case"
"06","2020-07-18",2411,"asian","imputed inc case"
"06","2020-07-25",2677,"asian","imputed inc case"
"06","2020-08-01",2345,"asian","imputed inc case"
"06","2020-08-08",2255,"asian","imputed inc case"
"06","2020-08-15",2937,"asian","imputed inc case"
"06","2020-08-22",2110,"asian","imputed inc case"
"06","2020-08-29",1943,"asian","imputed inc case"
"06","2020-09-05",1761,"asian","imputed inc case"
"06","2020-09-12",1449,"asian","imputed inc case"
"06","2020-09-19",1394,"asian","imputed inc case"
"06","2020-09-26",1307,"asian","imputed inc case"
"06","2020-10-03",1359,"asian","imputed inc case"
"06","2020-10-10",1214,"asian","imputed inc case"
"06","2020-10-17",1100,"asian","imputed inc case"
"06","2020-10-24",1613,"asian","imputed inc case"
"06","2020-10-31",1508,"asian","imputed inc case"
"06","2020-11-07",2130,"asian","imputed inc case"
"06","2020-11-14",3022,"asian","imputed inc case"
"06","2020-11-21",4728,"asian","imputed inc case"
"06","2020-11-28",5758,"asian","imputed inc case"
"06","2020-12-05",8848,"asian","imputed inc case"
"06","2020-12-12",12574,"asian","imputed inc case"
"06","2020-12-19",17822,"asian","imputed inc case"
"06","2020-12-26",16372,"asian","imputed inc case"
"06","2021-01-02",17434,"asian","imputed inc case"
"06","2021-01-09",18584,"asian","imputed inc case"
"06","2021-01-16",18616,"asian","imputed inc case"
"06","2021-01-23",11606,"asian","imputed inc case"
"06","2021-01-30",10684,"asian","imputed inc case"
"06","2021-02-06",7442,"asian","imputed inc case"
