"date","location","value","min_suppressed","race_ethnicity","target"
2020-06-13,"06",0,0,"other","inc death"
2020-06-13,"06",44,0,"asian","inc death"
2020-06-13,"06",30,0,"black","inc death"
2020-06-13,"06",92,0,"white","inc death"
2020-06-20,"06",216,0,"latino","inc death"
2020-06-20,"06",0,3,"other","inc death"
2020-06-20,"06",50,0,"asian","inc death"
2020-06-20,"06",34,0,"black","inc death"
2020-06-20,"06",107,1,"white","inc death"
2020-06-27,"06",279,1,"latino","inc death"
2020-06-27,"06",0,2,"other","inc death"
2020-06-27,"06",44,0,"asian","inc death"
2020-06-27,"06",19,0,"black","inc death"
2020-06-27,"06",108,1,"white","inc death"
2020-07-04,"06",354,2,"latino","inc death"
2020-07-04,"06",0,3,"other","inc death"
2020-07-04,"06",58,0,"asian","inc death"
2020-07-04,"06",34,0,"black","inc death"
2020-07-04,"06",138,1,"white","inc death"
2020-07-11,"06",386,1,"latino","inc death"
2020-07-11,"06",0,3,"other","inc death"
2020-07-11,"06",65,0,"asian","inc death"
2020-07-11,"06",47,0,"black","inc death"
2020-07-11,"06",185,1,"white","inc death"
2020-07-18,"06",481,3,"latino","inc death"
2020-07-18,"06",0,3,"other","inc death"
2020-07-18,"06",67,0,"asian","inc death"
2020-07-18,"06",55,0,"black","inc death"
2020-07-18,"06",208,1,"white","inc death"
2020-07-25,"06",490,4,"latino","inc death"
2020-07-25,"06",0,3,"other","inc death"
2020-07-25,"06",78,0,"asian","inc death"
2020-07-25,"06",67,0,"black","inc death"
2020-07-25,"06",268,1,"white","inc death"
2020-08-01,"06",515,2,"latino","inc death"
2020-08-01,"06",0,3,"other","inc death"
2020-08-01,"06",81,0,"asian","inc death"
2020-08-01,"06",59,0,"black","inc death"
2020-08-01,"06",275,0,"white","inc death"
2020-08-08,"06",505,4,"latino","inc death"
2020-08-08,"06",0,3,"other","inc death"
2020-08-08,"06",84,0,"asian","inc death"
2020-08-08,"06",56,0,"black","inc death"
2020-08-08,"06",271,1,"white","inc death"
2020-08-15,"06",430,4,"latino","inc death"
2020-08-15,"06",0,3,"other","inc death"
2020-08-15,"06",89,0,"asian","inc death"
2020-08-15,"06",44,0,"black","inc death"
